labels,text
0,knowing
0,I bet
0,they do n't make business
0,by doing good job
0,but piling up the profit
0,Take my advise 
1,I found a good plumber
1,after all and i believe
1,While the employees have been pleasant and nice 
0,the hair cutter gal really did a number on my kids hair
0,I did n't realize right away
0,But the next day i knew i 'd subjected my kid to a bad haircut
0,and was kinda ticked
1,was friendly
0,My significant other
0,had her eyebrows slightly
0,butchered here on one occasion
0,like this so good and bad can be gone the next day forever
1,a bonus is
1,that it is located right next to a nail salon
1,so the ladies might enjoy doing something to their hair and then going next door
1,which i like 
1,I still like to shop here
1,since it is my closest big lots 
0,One issue is
0,that they appear reluctant to open up an additional cash register even
0,that this is
0,when other employees  in plain sight  occupy themselves with staring vacantly at invoices
0,as if to not be recruited
0,but it was a slow enough trudge
0,We have also driven several miles to another big lots
0,because the wait
0,I realize the one guy on staff
0,who brings furniture to the front sometimes get overwhelmed 
0,We already burned over half an hour here
0,At this point 2 is
1,that was amazing
0,They stopped doing brunch
0,The service is so-so
0,and actual food is hit
0,We wo n't be back mostly because there are so many other places
1,So the food was okay
0,Here were my biggest problems  1st
0,the plates are to big 
0,The steak is small
0,being a filet and the mashed potato
0,The plate was big
0,and the portion was not 
0,Second issue was the dessert 
1,and that was great
1,They were good 
0,itself is very dry and deep
1,The pad thai was a large portion and the ingredients definitely tasted fresh
0,They do n't accept amex
1,but they were friendly
1,I felt like pizza
0,I was disappointed
0,that the crust was too doughy
1,A fairly well realized monument to unabashed corporate card excess 
0,Food and service are sporadic and a poor value for anyone silly enough
1,My wife 's tuna steak looked pretty 
1,Salmon was satisfactory 
1,A hostess and bartender were both pleasant  charming even 
0,We endured a flowery speech and unsolicited updates on lava cake 
0,until it finally arrived half an hour
0,The whole meal took forever 
1,Paul fleming is a respected restauranteur 
1,and rightly so
0,Dingy inside ... lightbulbs out everywhere
0,including right over booths  extension cords
1,Positive note ; salad and pizza were great
0,The bait and switch  alone  with higher in-store prices then their own website leaves a bad taste however
0,others seem to fear and loathe
1,The food looked delicious 
1,and came out quickly 
1,I was excited for the cheese/prosciutto appetizer 
0,The pizza was equally salty 
0,and to make matters worse -
0,the center was soggy
0,Oh - and as for the wait ...
0,it was about 90minutes 
1,because the wireless is pretty fast 
0,but i am pissed
0,that there policy is to filter whatever the hell
1,and the salads are pretty good
0,They need more booths with outlets 
0,Im reluctantly giving the vig uptown 2 stars
0,I give them 2
1,because they actually have good food ...
0,but their ethics
0,to show up with nothing
0,saved for us ...
0,made us wait an hour ...
0,and we still enjoyed each other 
0,"They didnt even say "" sorry "" or do anything for me"
0,We actually watched our table be held with no explanation
0,Come to find out ...
1,Everyone was friendly
0,but that 's all
0,We had to grab someone 20 mins after we sat down
0,what appears to be our food
0,It turned out to be ours
0,An hour
0,after sitting down we finally got our food
1,It 's a lot of food for the money
0,They were apologetic
1,and food was on the house
0,I do n't have time for this with a toddler
1,It 's kinda euro cool
0,and found them to be lukewarm instead of hot ( plus 
0,they were all foam 
1,They remade them
0,It took forever
0,while we 're doing all this waiting 
0,hanging around
1,this place has potential 
0,We had to remind the waiter
0,twice to bring drinks and once to bring toast
0,The food was equally unremarkable :
0,i had the cheddar biscuits and gravy
0,it lacked seasoning 
1,the hash browns were the best part of the plate 
1,Value : great . ( lots of food for the moo la ... wait is
1,that how you spell it ? ) Atmosphere : ummm ...
0,was overly dressed
1,the hot dog was good 
0,because it was not a good experience
0,and sad we only have the twisted lizzard
1,Service here is always friendly 
1,and it 's a pleasant place
1,as you get more food for the buck 
1,and it tastes good
1,They 've added dessert 
0,Not so good is the sangria 
0,Well  it does n't taste so good
0,It 's too bad 
1,as i enjoyed the meal
1,while it was happening 
0,but this is a risk
1,This is great
0,As with any family-run hole in the wall  service can be slow 
0,What the staff lacked in speed 
1,they made up for in charm
1,The food was good 
1,Both dishes were tasty 
0,that was disappointing was
0,that the food was a a little cold ( lukewarm )
1,I will go back again
1,I went for a team lunch and even with 6 of us during lunch 
1,I am not sure what the entree size would look like 
1,but i am sure
1,although they all look great
0,The one down thing for the lunch is
0,Instead of a meal she ordered just a side of asparagus -
1,it was very good 
0,but at about $ 1 per piece  i do n't know
0,if it could be that good ...
1,my entire salad was $ 8.75 ...
1,She brought the food out correctly
1,I get
0,They put some crap
0,they describe a seasoning
0,that is so overpowering
1,Sidebar the bread is really good
1,The wrap up burgers are good
1,and the lettuce wedge rocks 
0,the dough was tasteless
1,The prices seem fair
0,I bailed on my friends
0,yourself saddened by the fact
0,This place gets packed
0,when it gets all hot  sweaty and crowded i
0,get panicky like i need a good slap in the face
0,Someone will spill a drink on them
1,In all seriousness  they have two for one drink chips  fun music  and hot male go-go dancers in their underwear -
0,Just make sure to pee
1,The restaurant looked clean
0,it was a great dine in experience 
0,It was just their bastardization of these two original classics
0,They were so far from the originals
1,The place is alright 
1,the prices reasonable 
1,A nice place to include in the lunch mix 
0,The service was eh
1,The decor was nice 
0,it is not worth
0,Everyone here was so young
1,if you just wanted a few drinks with the guys 
1,Drinks are cheap
1,The music is n't bad ;
1,Pool tables  extra large jenga  connect 4 
1,and bean bag
1,throwing (
0,which i sucked ) come
0,I would n't say this would be a great pickup bar
1,as some signs suggest 
1,The donuts were fresh tasting 
0,To bad 
1,The drinks seemed strong 
1,The service is usually good 
0,I was angry  walked outside in the heat for a few minutes
0,to calm down 
0,Other people in the group had problems with this server as well
0,Sadly  one of my friends wrote about him on a comment card 
0,and the manager called him informing him
0,Personally  i would n't have wanted
0,him fired 
1,Everyone was super nice and helpful
0,The only thing
0,It needed more development 
0,The dressing was a bit
0,watered down
0,like nook just needs a little bit of fine-tuning
1,I would definitely be willing to give it another go 
1,that gives you massive portions
0,She just did n't seem to be there
0,No one was up front selling tickets 
0,It said
0,it was currently 8:51 
0,it was way into the movie 
0,We went back to guest services
0,to get a refund 
0,and were told
0,Then i saw his sheet of paper 
0,and pointed out to him
0,"of "" oh  well  i just did n't see that ..."
0,"and the machine is broken """
0,For the outrageous prices for both tickets and food ( and the machine sure does n't help or give any student discounts ) 
0,It took us at least 30 minutes
0,to order and get our food
0,All the worker had to do
0,was apologize for the wait
0,We complained about the wait
1,I would like to go back
1,because the food is good
0,They should switch entrances
1,It 's a varied clientele : i noticed tables
0,Portions were pretty small for the price
0,and there was not much by way of presentation
0,Our waiter was being trained
0,so i 'll pardon his awkwardness
0,as he tried to repeat everything
1,I 'd come back on a cool day
0,Their menu is a little uninspired with the standard sandwich items
0,All the other chips options
0,Exactly what i could make at home
1,it was cute
0,Since nothing wow 'd me
0,and it was a bit on the pricey side 
1,But they 've done a decent job
0,they should have left on manhattan
1,Great place to go to enjoy some good food
1,They have a wide selection of beers to choose from
0,Do n't expect anything fancy in terms of ambiance 
1,All of the toppings are free
1,The burgers are always juicy and delicious although i could stand
1,why i will continue to return
1,Omg these are probably the best fries
1,i 've had
0,but when my wife and i get a burger each  a small fry to share and two drinks
0,and it comes to 20 dollars 
0,I 'm never full
0,when i leave
0,and it seems
1,Definitely worth checking out
1,We arrived to a really good 2 person band
1,There are many theaters
1,I can eat an okay dinner
1,They never freak
1,because the prices are much more reasonable
1,""" Also  the service is friendly and fast "
1,It seems to be slightly better than other places
1,They are comfortable ones 
0,but at times it can be a bit awkward
1,The wine list is great
1,Coup des tartes is a particularly romantic place 
1,* the food is very delicious
1,It 's a little dream of a house
1,Bakery has a lot
1,Bagels are fresh in the morning 
1,The cream cheese is awesome 
1,There sauce actually had good flavor to it since other places
1,Well worth it 
1,they have
1,is great
0,it can get cramped in there
0,and the pepsi seemed alittle sweeter
1,I would come back again
1,Nice lighting and greeted right away
1,and our waitress was excellent 
1,she actually had a personality
1,They have a good selection of beer on tap
1,and have their own brand of beer on tap 
1,Really good wedge salad too 
1,I would definitely go back
1,"I really really really like the personality of this "" newly """
1,Greeted us
1,and had a conversation with our dinner companions
1,since they both lived/worked in maryland at one point 
1,demonstrating to me at least 
1,We shared
0,But the problem
0,with sharing an app with some folks is no one likes
0,to take the last few bites 
0,i was a little disappointed
0,that there was not much green chile flavor/kick to the dish
1,I also ordered a cup of clam chowder 
0,but had it sent back
0,I do n't think
1,We were comp
0,since a side salad
0,it would help to have more than one person
0,I waited in a line with about 6 people in front of me
0,and ended up with an iced regular caramel latte -
1,It was amazing ...
1,Also  the price was reasonable -
1,i love
1,I recommend this place 
1,Modern but with rustic elements
1,and has touches of a southwest motif
1,The staff was great-both servers
1,I really enjoyed the samplings of food
1,we tried-especially
1,the experience of the charcuterie table with various culinary offerings
1,Everything looks and sounds great
0,although unfortunately for those of us
0,So although i might not find too many items for dinner 
0,and had barely eaten
1,Our waitress was super nice and quick
1,she gave us waters
1,I got
1,The food came out pretty quick
1,It came with a side of chips and salsa ;
0,the salsa i 'll pass on ( tasted like pace bottled salsa )
1,My friend 's buffalo strips were hands down some of the best buffalo chicken
1,So it looks nice
1,I likely will return to this location 
1,This gb is one of our favorite places
1,We try for sundays to do our shopping in the area
1,and stop here ...
1,We have tried several of their appetizers 
1,It is especially nice
1,when the weather is beautiful then
1,Great place to watch games ...
1,but the service was great
1,It 's a cool spot
1,All in all  cool little bar
0,Although i prefer the beer at another local brewery 
1,which was amazing
1,My friend 's rib eye philly sandwich also looked really good
1,and that will be the next thing
1,i try
0,and it took forever for our waitress
0,We thought
1,There was live music
0,It is a little pricey 
1,but good  fresh ingredients can be .
0,( i spent $ 18 on a rice bowl with tofu and a fresh juice 
0,got a bbq one ) was a little bland  but nothing
1,and it was big enough
1,to end up
0,While the place is rather small and usually pretty crowded 
0,There is no alcohol available
1,but you can byob
1,The prices are fairly reasonable however
1,The owner has always been very personable on our visits
1,My son loves
1,their meatballs (
1,The eggplant is good too and try the tiramisu ;
1,It must be laced with something addictive 
1,but we will go back for sure 
1,I was intrigued by the low impact aspect of the workout and the stretching benefits
0,Turning upside down scared me to death
1,but it was easy
1,It was so helpful
1,it actually decreased most of my back pain
1,Every part of my body got a gentle workout
1,At the same time it was challenging
1,As soon as you walk in  there are a ton of flowers and plants
1,Love
1,and was so excited to learn
1,I have been back several times for lunch and dinner
1,I even hosted my monthly book club here
1,The staff is great and rebecca 
1,I highly recommend the lavosh of the moment & the roast
1,Try chicken noodles 
1,Make sure
1,you pick 1-5
0,Its a bit packed during lunch 
1,who travel for short visits at least go here once
1,Wonderful sandwiches and salads 
1,We each thoroughly enjoyed our meals
1,The decor is simple and clean
1,They passed
1,There was enough for two more meals
1,I would pay for their water
1,it was so good
1,This is a great place
1,if you want to have a conversation with someone 
1,Planned to get
0,We live 1200 miles away now 
1,This place values the quality and preparation of its food
1,Everything
1,we had
1,( see below )
1,Raw nori rolls ( resh vibrant veggies ( cucumber  seasonal sprouts  bell peppers  carrot  celery  zucchini ) black bean quesadilla roasted vegetable pizza soup - roasted red peppers and tomatoes with quinoa and kale chocolate caramel heart ( sweets ! )
1,And i 'm not a huge tea fan 
1,Cranberry orange tea
1,the thing ioved most about this place
1,was
1,That 's nicer
1,This is a fantastic place
1,The focus was halston  his work and a strange but highly inciteful film about this american fashion icon
1,We are blessed
1,This one was entirely affordable at $ 20 
1,Cash bar was reasonably
1,First of all  it was packed on both sides
1,-- a good sign
0,Food took a little while to come out
1,I had grilled chicken and veggies on skewers
1,I trusted my fellow yelpers
0,When we got there it actually looked closed from the outside
0,especially since the open sign was n't lit 
1,It 's a tiny little place with a dia de los muertos theme 
0,There was only one server
0,so it was a little slower
0,than we 'd like 
1,We each had to order the horchata with pecans and melon
1,was humungous
1,and thank goodness for that
1,The salsas are seriously amazing
1,I was already so full from eating all those chips and horchata
1,to enjoy the taste of something
1,after i 'm super full 
1,which was okay ...
0,probably my least favorite thing i ate there 
1,I was soooo full afterwards
1,and i left with a smile on my face and a new favorite restaurant
1,that i 'll have to stop at whenever i 'm in phoenix 
1,Splitting the plate made the bill pretty affordable
1,and it was just enough
1,to fill us up
1,but my champagne had a strawberry in it
1,We 've since
1,been back with friends
1,and it has been enjoyable for both a date night
1,I love this place 
1,the staff are amazing 
1,the tables ( all 42 of them
1,Main street currently hosts a total of 3 weekly tournaments
1,( check out our tournament schedule ! ) That appeal to different skill levels 
1,Main street 's central location in mesa ( within easy freeway access of the u.s. 60 - superstition freeway  101 - price freeway  and 202 - red mountain freeway ) 
1,to give players enough room and seating
1,"Main street offers the "" player 's corner "" for those"
1,Three 9 gold crown tables are
1,offered in a semi-enclosed area
1,featuring triple shimmed pockets
1,If you 're up for a ring game or some competitive play 
1,Main street billiards has been a road stop for several world class players 
1,A must-stop
1,Not too much batter so
1,when you bite into it 
1,you 're getting the right amount of crunch
1,Their house made
1,Biscuits were soft and fluffy
1,And the service
1,Def coming back
1,this is the best cajun/louisiana restaurant
1,They understand
1,That 's because flavors is authentic
1,This louisiana boy is so happy
1,that deserves more praise
1,and it was definitely the best dining experience
1,The freshly baked rolls were right from the oven
1,My mouth is drooling
1,The drinks were on point 
1,I have been back many times 
1,I am so addicted to india oven
1,known to come here at least once a week 
1,The staff is incredibly attentive and kind 
1,and the owner is always fast to come over
1,The inside is decorated beautifully
1,The lunch/dinner buffets have both mango lassi and chai tea 
1,Their buffet is the cheapest
1,( $ 7.95 / lunch  $ 9.95 /
1,Their tikka masala and spinach paneer are definitely my favorites 
1,although they have a few rotating dishes
